OBJECTID,BASINID,COUNT,AREA,SUM
1,1,115,0.1996528,8837.8447266
2,2,124,0.2152778,2099.3681641
3,3,83,0.1440972,6083.3500977
4,4,227,0.3940972,46712.5351563
5,5,235,0.4079861,29887.3515625
6,6,154,0.2673611,66909.0703125
7,7,67,0.1163194,9200.2119141
8,8,55,0.0954861,73049.3515625
9,9,160,0.2777778,299880.0625000
10,10,110,0.1909722,552811.2500000
11,11,285,0.4947917,942407.7500000
12,12,79,0.1371528,38184.2617188
13,13,79,0.1371528,1533.0345459
14,14,1,0.0017361,1.8827933
15,15,232,0.4027778,47612.5976563
16,16,204,0.3541667,787.2720337
17,17,821,1.4253472,5654.3613281
18,18,61,0.1059028,1324.6250000
19,19,64,0.1111111,1902.2760010
20,20,65,0.1128472,1264.4188232
21,21,204,0.3541667,3165.3347168
22,22,63,0.1093750,5337.9208984
23,23,67,0.1163194,8475.8613281
24,24,85,0.1475694,22862.2050781
25,25,871,1.5121528,2411.1948242
26,26,97,0.1684028,22988.2871094
27,27,86,0.1493056,52540.5078125
28,28,3951,6.8593750,65232.9414063
29,29,58,0.1006944,168.3017120
30,30,971,1.6857638,12934.6279297
31,31,104,0.1805556,761.6102295
32,32,55,0.0954861,1391.0329590
33,33,595,1.0329862,12816.6757813
34,34,70,0.1215278,1715.4240723
35,35,114,0.1979167,2764.3242188
36,36,84,0.1458333,2064.7055664
37,37,215,0.3732639,27790.7460938
38,38,56,0.0972222,3910.6833496
39,39,100,0.1736111,54428.5390625
40,40,60,0.1041667,251743.7031250
41,41,124,0.2152778,49446.6484375
42,42,88,0.1527778,57186.9414063
43,43,460,0.7986111,37227.2734375
44,44,230,0.3993056,11185.5566406
45,45,56,0.0972222,36568.1679688
46,46,92,0.1597222,59722.8164063
47,47,114,0.1979167,104136.1015625
48,48,145,0.2517361,294654.2187500
49,49,134,0.2326389,431027.8125000
50,50,63,0.1093750,10879.0673828
51,51,94,0.1631944,17822.6367188
52,52,58,0.1006944,10395.8339844
53,53,145,0.2517361,19437.0898438
54,54,83,0.1440972,2135.4604492
55,55,543,0.9427083,163545.3281250
56,56,78,0.1354167,123858.0390625
57,57,99,0.1718750,68162.8281250
58,58,1266,2.1979167,1145200.8750000
59,59,2007,3.4843750,1784473.5000000
60,60,61,0.1059028,10746.4814453
61,61,64,0.1111111,16108.5195313
62,62,69,0.1197917,8257.2333984
63,63,224,0.3888889,23808.9160156
64,64,788,1.3680556,121222.7656250
65,65,83,0.1440972,35425.5468750
66,66,179,0.3107639,11655.8574219
67,67,129,0.2239583,64479.8281250
68,68,185,0.3211806,110713.6718750
69,69,1259,2.1857638,926421.6875000
70,70,53,0.0920139,29918.6679688
71,71,70,0.1215278,3256.7951660
72,72,216,0.3750000,10292.5419922
73,73,195,0.3385417,9281.8593750
74,74,92,0.1597222,47964.8320313
75,75,1372,2.3819444,185321.5625000
76,76,267,0.4635417,23246.1835938
77,77,190,0.3298611,119143.5390625
78,78,183,0.3177083,62346.4531250
79,79,166,0.2881944,52956.3906250
80,80,47,0.0815972,6443.4326172
81,81,202,0.3506944,10704.2509766
82,82,325,0.5642361,41447.1601563
83,83,147,0.2552083,15521.1318359
84,84,98,0.1701389,13446.7509766
85,85,131,0.2274306,21895.2675781
86,86,423,0.7343750,1719118.0000000
87,87,63,0.1093750,9093.3876953
88,88,78,0.1354167,485872.7812500
89,89,136,0.2361111,19811.2832031
90,90,52,0.0902778,331500.0000000
91,91,315,0.5468750,8460.9521484
92,92,790,1.3715278,5086990.5000000
93,93,114,0.1979167,2656.0739746
94,94,449,0.7795139,47310.9921875
95,95,1430,2.4826388,315654.5937500
96,96,827,1.4357638,1080662.6250000
97,97,77,0.1336806,18196.5937500
98,98,130,0.2256944,8804.7822266
99,99,108,0.1875000,25515.2421875
100,100,2278,3.9548612,175040.5468750
101,101,165,0.2864583,34493.5351563
102,102,1233,2.1406250,578942.8125000
103,103,98,0.1701389,16081.8457031
104,104,790,1.3715278,1320656.1250000
105,105,372,0.6458333,797347.8125000
106,106,67,0.1163194,51308.2812500
107,107,278,0.4826389,799981.5000000
108,108,40,0.0694444,197092.4531250
109,109,646,1.1215278,1791302.3750000
110,110,107,0.1857639,735160.9375000
111,111,104,0.1805556,369944.9687500
112,112,397,0.6892361,490075.7187500
113,113,242,0.4201389,848857.0000000
114,114,251,0.4357639,172025.2500000
115,115,145,0.2517361,13332.4531250
116,116,792,1.3750000,639391.2500000
117,117,44,0.0763889,6393.6757813
118,118,105,0.1822917,30625.1074219
119,119,50,0.0868056,16629.8535156
120,120,4477,7.7725697,5735154.5000000
121,121,383,0.6649306,180112.4531250
122,122,130,0.2256944,46042.1875000
123,123,113,0.1961806,78775.2812500
124,124,308,0.5347222,201143.0156250
125,125,80,0.1388889,113628.1328125
126,126,152,0.2638889,117368.0937500
127,127,58,0.1006944,47222.8359375
128,128,390,0.6770833,313704.1875000
129,129,70,0.1215278,111317.2890625
130,130,415,0.7204861,360741.7812500
131,131,92,0.1597222,122599.3828125
132,132,390,0.6770833,562921.3125000
133,133,198,0.3437500,158788.0312500
134,134,862,1.4965278,866821.2500000
135,135,47,0.0815972,150289.8281250
136,136,93,0.1614583,83521.5703125
137,137,107,0.1857639,57453.0234375
138,138,675,1.1718750,137229.9843750
139,139,135,0.2343750,3185.7600098
140,140,138,0.2395833,10018.9072266
141,141,17,0.0295139,1284.7104492
142,142,186,0.3229167,30213.7285156
143,143,107,0.1857639,12115.4384766
144,144,3,0.0052083,63.5868492
145,145,40,0.0694444,14650.6308594
146,146,36,0.0625000,11704.8750000
147,147,111,0.1927083,9515.0478516
148,148,29,0.0503472,3379.4787598
149,149,69,0.1197917,7476.8242188
150,150,7,0.0121528,785.7087402
151,151,38,0.0659722,11999.9335938
152,152,261,0.4531250,67158.8828125
153,153,14,0.0243056,10783.5263672
154,154,125,0.2170139,56989.0781250
155,155,160,0.2777778,1045.0092773
156,156,175,0.3038194,1262.2027588
